instrument_type|ticker_symbol|exchange|country|currency|trade_date|execution_time|side|quantity|price_per_unit|gross_amount|commission|tax|net_amount|client_pid|client_name|client_lastname|client_origin|transaction_type|channel|created_at|updated_at
STOCK|AAPL|LSE|Eritrea|GBP|2024-07-12|2024-07-12 11:21:35|S|165.0335|597.3014|98574.74|459.2122|1971.4948|96079.56|446846356170|Nancy|Johnston|Moldova|STOP_LIMIT|MOBILE|2026-02-14 14:58:17.251119|2026-02-14 14:58:17.251120
ETF|AAPL|NASDAQ|Iceland|JPY|2024-03-26|2024-03-26 17:19:46|S|263.2692|320.2304|84306.8|184.9792|1686.136|82385.65|232229668385|Mark|Thompson|Zambia|EACH_PRICE|BROKER|2026-02-14 14:58:17.251266|2026-02-14 14:58:17.251267
STOCK|GOOGL|XETRA|Suriname|USD|2024-04-07|2024-04-07 08:01:31|B|361.3689|635.8467|229775.22|504.1297|4595.5044|224627.65|806543892354|Jacob|Wagner|Uruguay|STOP_LOSS|API|2026-02-14 14:58:17.251410|2026-02-14 14:58:17.251411
ETF|META|LSE|Dominican Republic|USD|2023-10-31|2023-10-31 04:22:48|S|266.2776|1011.5167|269344.24|1217.5426|5386.8848|262619.19|146220468203|Jessica|Robinson|Morocco|EACH_PRICE|MOBILE|2026-02-14 14:58:17.251556|2026-02-14 14:58:17.251556
ETF|NVDA|NYSE|Kenya|JPY|2023-02-26|2023-02-26 08:13:03|S|451.459|518.7836|234209.53|124.2088|4684.1906|229277.81|173790927461|James|Palmer|Albania|LIMIT|API|2026-02-14 14:58:17.251701|2026-02-14 14:58:17.251702
STOCK|AMZN|XETRA|Andorra|USD|2023-09-08|2023-09-08 11:50:56|S|474.661|352.6784|167402.68|110.5885|3348.0536|163888.73|506855987557|Jon|Green|Netherlands|LIMIT|MOBILE|2026-02-14 14:58:17.251847|2026-02-14 14:58:17.251847
STOCK|TSLA|XETRA|Cote d'Ivoire|EUR|2023-01-07|2023-01-07 03:39:04|B|399.7802|614.5695|245692.72|455.2581|4913.8544|240242.25|899472936093|Heather|Vang|Bhutan|LIMIT|BROKER|2026-02-14 14:58:17.251990|2026-02-14 14:58:17.251991
ETF|AAPL|XETRA|Saint Pierre and Miquelon|USD|2024-06-02|2024-06-02 17:24:11|B|390.324|522.787|204056.31|112.0662|4081.1262|199742.89|753108196214|Emily|Perez|Portugal|MARKET_PRICE|MOBILE|2026-02-14 14:58:17.252133|2026-02-14 14:58:17.252134
STOCK|NFLX|XETRA|Egypt|GBP|2023-05-11|2023-05-11 21:52:35|B|200.5144|734.6961|147317.15|643.1144|2946.343|143674.54|202808093094|Christopher|Allen|Kenya|STOP_LIMIT|WEB|2026-02-14 14:58:17.252278|2026-02-14 14:58:17.252279
STOCK|TSLA|NASDAQ|Papua New Guinea|EUR|2023-09-19|2023-09-19 10:41:17|S|396.1722|1465.9627|580773.67|1843.179|11615.4734|566902.17|265047433654|Katherine|Harris|San Marino|STOP_LIMIT|API|2026-02-14 14:58:17.252423|2026-02-14 14:58:17.252424
STOCK|BABA|NYSE|Uganda|USD|2024-10-07|2024-10-07 03:30:52|S|57.6643|1361.701|78521.53|275.3939|1570.4306|76666.61|367757007948|Sharon|Perez|Netherlands Antilles|STOP_LIMIT|WEB|2026-02-14 14:58:17.252571|2026-02-14 14:58:17.252572
ETF|META|XETRA|Sao Tome and Principe|USD|2024-06-14|2024-06-14 23:53:48|S|447.3119|969.6873|433752.67|724.9263|8675.0534|424131.27|676079147303|Kerry|Crawford|Jersey|EACH_PRICE|API|2026-02-14 14:58:17.252718|2026-02-14 14:58:17.252719
STOCK|BABA|JPX|Micronesia|GBP|2023-04-05|2023-04-05 22:06:58|S|344.6628|1392.2081|479842.34|1944.8303|9596.8468|468079.64|210688062877|Mary|Murray|British Virgin Islands|EACH_PRICE|API|2026-02-14 14:58:17.252863|2026-02-14 14:58:17.252863
STOCK|META|NYSE|Mali|GBP|2023-04-24|2023-04-24 14:54:21|S|473.4587|245.8827|116415.3|525.9346|2328.306|113488.21|351720074090|William|Smith|Marshall Islands|STOP_LOSS|API|2026-02-14 14:58:17.253009|2026-02-14 14:58:17.253009
STOCK|BABA|NASDAQ|Andorra|JPY|2023-04-07|2023-04-07 08:18:59|B|463.2682|220.9997|102382.13|355.3984|2047.6426|99903.97|144898416971|Tracy|Green|Syrian Arab Republic|EACH_PRICE|WEB|2026-02-14 14:58:17.253155|2026-02-14 14:58:17.253156
ETF|MSFT|NYSE|El Salvador|GBP|2024-01-19|2024-01-19 23:44:27|B|457.6004|187.0768|85606.42|175.6333|1712.1284|83638.44|643405616281|Scott|Hughes|Maldives|LIMIT|BROKER|2026-02-14 14:58:17.253300|2026-02-14 14:58:17.253301
ETF|MSFT|NYSE|Sweden|USD|2024-08-05|2024-08-05 08:42:54|B|178.6439|798.0113|142559.85|551.0639|2851.197|139089.55|201213467028|Whitney|Moses|United States Virgin Islands|LIMIT|API|2026-02-14 14:58:17.253479|2026-02-14 14:58:17.253480
STOCK|GOOGL|LSE|Saint Barthelemy|USD|2024-11-04|2024-11-04 21:50:35|S|244.3647|1021.2612|249560.19|1053.7732|4991.2038|243272.94|108075181523|Jacob|Weber|Jamaica|MARKET_PRICE|API|2026-02-14 14:58:17.253627|2026-02-14 14:58:17.253628
ETF|NVDA|NASDAQ|Ireland|USD|2023-07-07|2023-07-07 16:37:25|B|132.7208|1045.0371|138698.16|364.1945|2773.9632|135538.55|906984984535|Eric|Bradley|American Samoa|LIMIT|WEB|2026-02-14 14:58:17.253772|2026-02-14 14:58:17.253773
STOCK|NFLX|NASDAQ|Andorra|EUR|2024-01-08|2024-01-08 18:43:47|B|436.0847|633.1145|276091.55|229.6221|5521.831|270094.42|589320418711|David|Poole|Taiwan|MARKET_PRICE|WEB|2026-02-14 14:58:17.253917|2026-02-14 14:58:17.253918
STOCK|MSFT|NASDAQ|Lebanon|JPY|2023-04-26|2023-04-26 23:10:07|S|143.24|818.7583|117278.94|428.1316|2345.5788|114450.97|455868807149|Randy|Reeves|Indonesia|MARKET_PRICE|API|2026-02-14 14:58:17.254061|2026-02-14 14:58:17.254062
STOCK|BABA|JPX|Ireland|GBP|2023-01-09|2023-01-09 03:02:54|S|326.9752|399.8119|130728.58|480.1496|2614.5716|127517.55|503865321500|James|Campbell|Seychelles|EACH_PRICE|BROKER|2026-02-14 14:58:17.254205|2026-02-14 14:58:17.254206
STOCK|BABA|LSE|New Caledonia|USD|2023-12-09|2023-12-09 02:08:16|S|107.5444|259.674|27926.48|43.9735|558.5296|27313.13|626365124914|John|Hester|Nauru|EACH_PRICE|MOBILE|2026-02-14 14:58:17.254350|2026-02-14 14:58:17.254350
STOCK|MSFT|NASDAQ|Madagascar|USD|2023-02-22|2023-02-22 05:09:01|B|158.4163|351.1918|55634.51|159.9416|1112.6902|54320.05|798645255904|Cynthia|Avila|Ethiopia|LIMIT|BROKER|2026-02-14 14:58:17.254493|2026-02-14 14:58:17.254494
ETF|AMZN|NASDAQ|Falkland Islands (Malvinas)|USD|2024-06-08|2024-06-08 05:47:40|S|149.9459|1468.4167|220183.06|612.1731|4403.6612|214998.42|724252655160|Jimmy|Conner|Tonga|MARKET_PRICE|API|2026-02-14 14:58:17.254638|2026-02-14 14:58:17.254639
ETF|BABA|XETRA|Djibouti|EUR|2023-10-18|2023-10-18 18:05:50|S|472.4067|131.4635|62104.24|121.8356|1242.0848|60679.74|843911269165|Patrick|Flores|Israel|LIMIT|WEB|2026-02-14 14:58:17.254782|2026-02-14 14:58:17.254782
STOCK|NVDA|NYSE|Jersey|EUR|2024-02-23|2024-02-23 00:35:50|S|15.1509|1232.673|18676.11|27.7571|373.5222|18266.45|134299128799|Brian|Hickman|Azerbaijan|STOP_LIMIT|API|2026-02-14 14:58:17.254926|2026-02-14 14:58:17.254927
STOCK|AAPL|NYSE|Azerbaijan|USD|2023-08-05|2023-08-05 12:35:43|S|413.0389|290.3141|119911.02|302.3693|2398.2204|117119.93|861905073596|Lori|Lewis|Andorra|STOP_LIMIT|MOBILE|2026-02-14 14:58:17.255070|2026-02-14 14:58:17.255071
STOCK|AMZN|NASDAQ|San Marino|EUR|2023-10-12|2023-10-12 20:28:24|B|328.4763|695.6816|228514.92|928.1889|4570.2984|222968.37|132467302511|Julia|Hancock|Guinea-Bissau|STOP_LOSS|API|2026-02-14 14:58:17.255216|2026-02-14 14:58:17.255217
STOCK|NVDA|NYSE|Montenegro|JPY|2024-08-02|2024-08-02 03:21:54|S|219.3099|1119.5815|245535.31|355.3065|4910.7062|240197.26|486485743939|Kevin|Spencer|Bahrain|STOP_LIMIT|WEB|2026-02-14 14:58:17.255361|2026-02-14 14:58:17.255362
STOCK|MSFT|LSE|Bangladesh|EUR|2024-12-15|2024-12-15 22:58:34|B|388.8581|459.6817|178750.95|885.147|3575.019|174268.67|675023975674|Reginald|Rivera|Bolivia|STOP_LOSS|API|2026-02-14 14:58:17.255505|2026-02-14 14:58:17.255506
ETF|META|LSE|Macao|USD|2024-04-20|2024-04-20 03:17:03|B|394.3002|601.5|237171.57|1059.6476|4743.4314|231213.41|164150444544|Theresa|Williams|Micronesia|STOP_LIMIT|BROKER|2026-02-14 14:58:17.255649|2026-02-14 14:58:17.255650
ETF|BABA|LSE|Swaziland|JPY|2023-08-08|2023-08-08 07:07:12|B|392.1733|1088.2479|426781.77|1273.9639|8535.6354|416558.14|917495195211|Sylvia|Ferguson|Mexico|STOP_LIMIT|MOBILE|2026-02-14 14:58:17.255794|2026-02-14 14:58:17.255795
ETF|NVDA|XETRA|Montserrat|GBP|2024-08-08|2024-08-08 12:38:41|S|481.0768|1266.0999|609091.29|513.4116|12181.8258|596176.61|706959342842|Jose|Nixon|Solomon Islands|STOP_LOSS|WEB|2026-02-14 14:58:17.255938|2026-02-14 14:58:17.255939
ETF|NFLX|NYSE|Haiti|GBP|2024-10-31|2024-10-31 17:39:20|S|67.9991|1480.4074|100666.37|75.9569|2013.3274|98477.19|184106440627|Kim|Roberts|Finland|MARKET_PRICE|API|2026-02-14 14:58:17.256088|2026-02-14 14:58:17.256089
STOCK|META|NYSE|Jamaica|GBP|2024-03-29|2024-03-29 04:07:20|S|104.3029|612.0508|63838.67|65.4746|1276.7734|62477.88|349701987637|Valerie|Greene|Saint Martin|STOP_LIMIT|MOBILE|2026-02-14 14:58:17.256235|2026-02-14 14:58:17.256236
STOCK|AAPL|JPX|Tajikistan|GBP|2024-06-22|2024-06-22 22:04:17|B|176.7627|215.7411|38134.98|162.1767|762.6996|37182.63|180169773887|David|Elliott|Saint Pierre and Miquelon|EACH_PRICE|MOBILE|2026-02-14 14:58:17.256380|2026-02-14 14:58:17.256381
STOCK|BABA|NASDAQ|United States Minor Outlying Islands|EUR|2023-09-23|2023-09-23 00:18:11|S|499.6298|1327.3088|663163.03|2873.8818|13263.2606|646697.24|411634855542|Jason|Dunn|Jamaica|MARKET_PRICE|BROKER|2026-02-14 14:58:17.256524|2026-02-14 14:58:17.256525
ETF|META|NASDAQ|Gambia|USD|2023-10-21|2023-10-21 00:45:19|S|298.1097|624.6579|186216.58|475.3897|3724.3316|181838.26|709560644474|April|Pacheco|United Kingdom|MARKET_PRICE|API|2026-02-14 14:58:17.256668|2026-02-14 14:58:17.256669
STOCK|TSLA|XETRA|Papua New Guinea|GBP|2024-03-15|2024-03-15 03:42:33|S|169.62|661.9624|112282.06|454.3795|2245.6412|109547.22|223798905126|Samuel|Burke|Northern Mariana Islands|LIMIT|API|2026-02-14 14:58:17.256811|2026-02-14 14:58:17.256812
STOCK|TSLA|LSE|Luxembourg|EUR|2023-05-14|2023-05-14 17:46:57|S|13.2621|872.6218|11572.8|52.8834|231.456|11284.74|538255520943|Ashley|Moore|Micronesia|LIMIT|API|2026-02-14 14:58:17.256959|2026-02-14 14:58:17.256960
ETF|NVDA|NASDAQ|Netherlands|USD|2024-03-28|2024-03-28 09:32:54|B|307.3971|366.2127|112572.72|391.4707|2251.4544|109825.03|988199519363|Karen|Obrien|Kyrgyz Republic|EACH_PRICE|BROKER|2026-02-14 14:58:17.257103|2026-02-14 14:58:17.257104
ETF|NVDA|LSE|Sweden|EUR|2023-07-02|2023-07-02 01:50:43|S|448.958|454.4793|204042.12|505.4086|4080.8424|199259.04|591330210869|Amanda|Mcgee|Antigua and Barbuda|MARKET_PRICE|API|2026-02-14 14:58:17.257248|2026-02-14 14:58:17.257249
ETF|TSLA|JPX|Grenada|GBP|2023-05-15|2023-05-15 08:35:03|S|150.9956|426.3557|64377.83|127.3535|1287.5566|62917.54|893819717878|William|Martinez|Italy|EACH_PRICE|API|2026-02-14 14:58:17.257444|2026-02-14 14:58:17.257445
STOCK|NFLX|XETRA|Nicaragua|JPY|2024-04-07|2024-04-07 13:24:41|B|403.9558|293.7657|118668.36|143.3553|2373.3672|116091.86|690188537604|Chad|Smith|Comoros|MARKET_PRICE|API|2026-02-14 14:58:17.257602|2026-02-14 14:58:17.257603
STOCK|GOOGL|NASDAQ|Rwanda|GBP|2023-03-10|2023-03-10 08:56:30|B|351.2946|1268.5775|445644.43|1510.0296|8912.8886|435176.7|185326553526|Erika|Perry|Mauritania|STOP_LOSS|MOBILE|2026-02-14 14:58:17.257747|2026-02-14 14:58:17.257748
ETF|NFLX|LSE|Palau|JPY|2024-11-24|2024-11-24 16:41:28|B|152.7632|608.1413|92901.61|64.9797|1858.0322|90958.52|460510775773|Margaret|Taylor|Faroe Islands|STOP_LIMIT|BROKER|2026-02-14 14:58:17.257895|2026-02-14 14:58:17.257896
STOCK|MSFT|JPX|Peru|USD|2023-11-08|2023-11-08 19:18:00|B|366.7765|1371.4342|503009.84|800.7667|10060.1968|491892.08|973050738233|Vickie|Carter|Serbia|MARKET_PRICE|API|2026-02-14 14:58:17.258041|2026-02-14 14:58:17.258042
STOCK|META|NYSE|French Southern Territories|EUR|2023-05-07|2023-05-07 17:48:29|B|162.6319|1484.664|241453.73|849.8113|4829.0746|235570.87|115960808201|Stephanie|Barrera|Guam|MARKET_PRICE|BROKER|2026-02-14 14:58:17.258207|2026-02-14 14:58:17.258208
ETF|TSLA|NYSE|Samoa|JPY|2023-03-14|2023-03-14 11:36:46|S|99.0367|998.1692|98855.38|255.5441|1977.1076|96545.27|198935802340|Daniel|Hunt|Wallis and Futuna|LIMIT|WEB|2026-02-14 14:58:17.258378|2026-02-14 14:58:17.258379
STOCK|GOOGL|NYSE|Bahamas|EUR|2024-06-28|2024-06-28 05:12:37|S|394.2095|255.7746|100828.78|271.6914|2016.5756|98499.68|655888935012|Jessica|Huffman|Singapore|MARKET_PRICE|WEB|2026-02-14 14:58:17.258547|2026-02-14 14:58:17.258548
STOCK|AAPL|NYSE|Congo|JPY|2024-01-30|2024-01-30 20:21:22|S|147.6283|800.4251|118165.4|260.5386|2363.308|115441.52|896603117149|Eric|Peterson|Solomon Islands|MARKET_PRICE|MOBILE|2026-02-14 14:58:17.258712|2026-02-14 14:58:17.258713
ETF|BABA|LSE|Saint Pierre and Miquelon|USD|2023-04-25|2023-04-25 02:22:46|S|84.9317|1463.1129|124264.67|218.2949|2485.2934|121511.28|174487013924|Jacob|Sawyer|Wallis and Futuna|EACH_PRICE|API|2026-02-14 14:58:17.258870|2026-02-14 14:58:17.258870
STOCK|NVDA|NYSE|Pakistan|EUR|2024-03-30|2024-03-30 07:30:59|B|474.037|899.4974|426395.05|2048.1906|8527.901|415662.95|759831212333|Summer|Parrish|Palau|MARKET_PRICE|API|2026-02-14 14:58:17.259018|2026-02-14 14:58:17.259019
STOCK|GOOGL|LSE|Benin|GBP|2024-12-07|2024-12-07 15:04:40|S|316.3299|1482.2662|468885.12|300.8595|9377.7024|459021.57|695675281474|Chelsea|Higgins|Togo|MARKET_PRICE|MOBILE|2026-02-14 14:58:17.259226|2026-02-14 14:58:17.259227
ETF|TSLA|XETRA|Germany|EUR|2024-11-10|2024-11-10 11:00:56|B|40.7189|300.1709|12222.63|27.8298|244.4526|11938.14|721109513689|Natalie|Rodgers|Lesotho|MARKET_PRICE|API|2026-02-14 14:58:17.259388|2026-02-14 14:58:17.259389
STOCK|NVDA|NASDAQ|Denmark|JPY|2023-07-21|2023-07-21 07:10:24|B|498.2457|126.3362|62946.47|194.9531|1258.9294|61439.26|634268141253|Holly|West|Saint Pierre and Miquelon|STOP_LOSS|API|2026-02-14 14:58:17.259580|2026-02-14 14:58:17.259581
STOCK|GOOGL|JPX|Central African Republic|GBP|2023-06-10|2023-06-10 00:24:22|S|401.5401|1215.0351|487885.32|2346.0963|9757.7064|475347.72|377502811722|Jared|Weber|North Macedonia|EACH_PRICE|API|2026-02-14 14:58:17.259740|2026-02-14 14:58:17.259741
STOCK|NVDA|LSE|Guam|EUR|2024-11-06|2024-11-06 00:06:00|B|2.693|624.8527|1682.73|4.4712|33.6546|1643.82|485150956707|Anthony|Hoffman|Central African Republic|STOP_LOSS|WEB|2026-02-14 14:58:17.259900|2026-02-14 14:58:17.259901
STOCK|NFLX|NYSE|Zimbabwe|GBP|2024-06-04|2024-06-04 07:38:21|B|216.6398|1335.3219|289283.87|513.8979|5785.6774|282834.08|313683674475|Sara|Jimenez|Paraguay|STOP_LOSS|WEB|2026-02-14 14:58:17.260062|2026-02-14 14:58:17.260063
STOCK|META|NASDAQ|Niue|EUR|2023-01-30|2023-01-30 09:09:13|B|228.6647|863.2956|197405.23|263.8142|3948.1046|193066.14|251367452205|Haley|Mckenzie|Netherlands|MARKET_PRICE|BROKER|2026-02-14 14:58:17.260236|2026-02-14 14:58:17.260237
STOCK|META|NYSE|Togo|USD|2024-02-24|2024-02-24 05:41:37|S|184.872|656.6624|121398.49|447.836|2427.9698|118434.14|821628744986|John|Cunningham|Vanuatu|EACH_PRICE|WEB|2026-02-14 14:58:17.260413|2026-02-14 14:58:17.260414
ETF|AMZN|XETRA|Saint Vincent and the Grenadines|USD|2024-08-21|2024-08-21 17:26:53|B|376.0154|411.8586|154865.18|766.9362|3097.3036|150890.76|433768758775|Sara|Lane|Bahrain|STOP_LIMIT|API|2026-02-14 14:58:17.260557|2026-02-14 14:58:17.260558
STOCK|AAPL|NASDAQ|United Kingdom|EUR|2024-04-12|2024-04-12 00:21:10|S|475.232|474.159|225335.53|946.7247|4506.7106|219695.51|722537958397|Stephen|Chambers|Portugal|EACH_PRICE|WEB|2026-02-14 14:58:17.260731|2026-02-14 14:58:17.260732
STOCK|MSFT|XETRA|Azerbaijan|GBP|2024-01-13|2024-01-13 12:07:14|S|121.6974|490.7376|59721.49|70.2406|1194.4298|58415.78|792032214416|William|Tucker|Samoa|EACH_PRICE|MOBILE|2026-02-14 14:58:17.260942|2026-02-14 14:58:17.260943
STOCK|META|XETRA|Sweden|GBP|2023-12-08|2023-12-08 15:44:49|B|108.5151|1483.8125|161016.06|530.9408|3220.3212|157118.91|588788498772|Wayne|Bullock|Guernsey|STOP_LIMIT|BROKER|2026-02-14 14:58:17.261101|2026-02-14 14:58:17.261102
STOCK|AAPL|NASDAQ|Saint Pierre and Miquelon|GBP|2023-04-15|2023-04-15 11:39:05|B|349.6228|894.8074|312845.07|1235.5745|6256.9014|305234.16|987134176820|Steven|Charles|Lithuania|MARKET_PRICE|BROKER|2026-02-14 14:58:17.261243|2026-02-14 14:58:17.261244
STOCK|AMZN|NASDAQ|United Arab Emirates|JPY|2023-12-21|2023-12-21 18:51:50|S|71.6852|472.9536|33903.77|123.7889|678.0754|33078.32|979272806531|William|Murray|Luxembourg|LIMIT|MOBILE|2026-02-14 14:58:17.261438|2026-02-14 14:58:17.261439
STOCK|NVDA|NASDAQ|Holy See (Vatican City State)|GBP|2024-05-28|2024-05-28 07:58:32|S|133.6172|747.8726|99928.64|258.7949|1998.5728|97635.38|308725858332|Lisa|Chaney|Greenland|LIMIT|API|2026-02-14 14:58:17.261602|2026-02-14 14:58:17.261603
ETF|NVDA|NASDAQ|Egypt|JPY|2024-11-21|2024-11-21 19:53:08|S|401.0399|1189.3764|476987.39|1157.3642|9539.7478|466062.24|105992145631|Alexandria|Zimmerman|Saint Martin|STOP_LIMIT|MOBILE|2026-02-14 14:58:17.261749|2026-02-14 14:58:17.261750
ETF|META|NYSE|Azerbaijan|USD|2024-03-30|2024-03-30 15:52:25|S|250.2623|402.0501|100617.98|243.5652|2012.3596|98267.19|618640618508|Cynthia|Smith|Saint Kitts and Nevis|STOP_LIMIT|WEB|2026-02-14 14:58:17.261890|2026-02-14 14:58:17.261891
STOCK|TSLA|NASDAQ|Somalia|GBP|2024-12-06|2024-12-06 01:57:12|S|370.8134|1142.3277|423590.42|1193.3647|8471.8084|413582.68|871266182857|William|Kelly|Chad|STOP_LOSS|MOBILE|2026-02-14 14:58:17.262034|2026-02-14 14:58:17.262034
ETF|BABA|NASDAQ|Mauritius|JPY|2023-11-09|2023-11-09 21:36:38|S|84.2719|932.4046|78575.51|134.2544|1571.5102|76792.11|136269499044|Aaron|Stewart|Maldives|STOP_LOSS|BROKER|2026-02-14 14:58:17.262190|2026-02-14 14:58:17.262191
STOCK|META|NYSE|Bermuda|EUR|2023-11-26|2023-11-26 10:00:28|B|294.3435|322.3729|94888.37|318.2419|1897.7674|92635.44|860729679647|Michael|White|Kuwait|LIMIT|API|2026-02-14 14:58:17.262337|2026-02-14 14:58:17.262338
STOCK|META|JPX|Nepal|EUR|2024-07-31|2024-07-31 17:18:54|B|391.7364|677.4011|265362.67|699.5332|5307.2534|259228.85|189109995201|Yvonne|Rodriguez|Costa Rica|MARKET_PRICE|WEB|2026-02-14 14:58:17.262531|2026-02-14 14:58:17.262532
ETF|META|NYSE|Reunion|GBP|2023-01-17|2023-01-17 02:44:58|S|307.9579|153.9422|47407.72|153.6476|948.1544|46287.97|872415380831|Bobby|Butler|Uganda|STOP_LIMIT|BROKER|2026-02-14 14:58:17.262712|2026-02-14 14:58:17.262713
ETF|META|LSE|Kazakhstan|USD|2024-07-12|2024-07-12 03:32:32|B|411.6749|1259.1969|518379.76|1441.4954|10367.5952|506440.25|227806401739|Jonathan|Sutton|Macao|STOP_LIMIT|API|2026-02-14 14:58:17.262937|2026-02-14 14:58:17.262938
STOCK|AMZN|NYSE|United States Minor Outlying Islands|GBP|2023-10-20|2023-10-20 23:32:54|B|56.1704|1498.88|84192.69|60.7024|1683.8538|82384.46|546757763770|Andrea|Suarez|Chad|EACH_PRICE|BROKER|2026-02-14 14:58:17.263112|2026-02-14 14:58:17.263112
ETF|META|XETRA|Romania|USD|2023-12-04|2023-12-04 05:50:48|S|330.3912|275.7728|91112.91|214.5408|1822.2582|89007.71|619554300108|Elizabeth|Morrison|Trinidad and Tobago|STOP_LOSS|API|2026-02-14 14:58:17.263254|2026-02-14 14:58:17.263255
ETF|GOOGL|JPX|Christmas Island|USD|2023-11-13|2023-11-13 19:28:04|B|369.9665|948.7548|351007.49|328.0777|7020.1498|343542.61|648798212730|Michael|Jones|American Samoa|STOP_LIMIT|API|2026-02-14 14:58:17.263395|2026-02-14 14:58:17.263396
STOCK|AMZN|LSE|Haiti|GBP|2024-08-24|2024-08-24 07:13:20|S|76.2446|1325.2924|101046.39|85.0467|2020.9278|98853.9|447296451795|Stephanie|Patel|Micronesia|LIMIT|MOBILE|2026-02-14 14:58:17.263537|2026-02-14 14:58:17.263538
ETF|NFLX|XETRA|Algeria|EUR|2024-11-12|2024-11-12 01:40:59|B|362.0345|179.5052|64987.08|298.6131|1299.7416|63337.63|710588429657|Kristen|Herring|Saint Martin|MARKET_PRICE|API|2026-02-14 14:58:17.263677|2026-02-14 14:58:17.263678
