instrument_type|ticker_symbol|exchange|country|currency|trade_date|execution_time|side|quantity|price_per_unit|gross_amount|commission|tax|net_amount|client_pid|client_name|client_lastname|client_origin|transaction_type|channel|created_at|updated_at
STOCK|GOOGL|LSE|Palestinian Territory|JPY|2023-04-25|2023-04-25 07:43:17|B|15.8273|290.8323|4603.09|11.8825|92.0618|4496.59|870026506230|Michelle|Rubio|Tuvalu|EACH_PRICE|BROKER|2026-01-19 13:07:53.541759|2026-01-19 13:07:53.541760
ETF|NFLX|NYSE|Micronesia|JPY|2023-12-05|2023-12-05 13:14:04|B|414.2776|1257.7863|521072.69|1611.1045|10421.4538|508721.51|987614124910|Charles|Fowler|Cuba|STOP_LIMIT|MOBILE|2026-01-19 13:07:53.541989|2026-01-19 13:07:53.541990
ETF|META|NYSE|Djibouti|JPY|2023-07-27|2023-07-27 03:48:30|B|79.099|519.1637|41065.33|22.6357|821.3066|40207.0|177098404752|Linda|Bennett|New Zealand|STOP_LIMIT|MOBILE|2026-01-19 13:07:53.542171|2026-01-19 13:07:53.542172
STOCK|AAPL|JPX|Mongolia|USD|2024-09-05|2024-09-05 04:13:41|S|237.6174|656.3422|155958.33|464.7369|3119.1666|152258.84|520639784283|Judy|Palmer|Saint Barthelemy|MARKET_PRICE|WEB|2026-01-19 13:07:53.542315|2026-01-19 13:07:53.542315
STOCK|AAPL|XETRA|Croatia|GBP|2023-06-07|2023-06-07 19:42:58|B|237.9652|1290.1813|307018.25|1195.581|6140.365|299554.44|431161790130|Megan|Adams|Iran|LIMIT|MOBILE|2026-01-19 13:07:53.542515|2026-01-19 13:07:53.542516
ETF|BABA|LSE|Belize|JPY|2023-10-28|2023-10-28 17:45:46|S|369.8972|281.8008|104237.33|409.384|2084.7466|101714.94|421374767360|Jessica|Collins|Congo|EACH_PRICE|WEB|2026-01-19 13:07:53.542657|2026-01-19 13:07:53.542657
ETF|TSLA|NYSE|Sudan|GBP|2023-08-18|2023-08-18 04:11:18|B|172.0073|607.0522|104417.41|270.2467|2088.3482|101978.41|241722177608|Michele|Mooney|Swaziland|STOP_LIMIT|WEB|2026-01-19 13:07:53.542799|2026-01-19 13:07:53.542799
STOCK|TSLA|NYSE|Rwanda|USD|2024-05-28|2024-05-28 09:30:12|S|344.0626|9.2708|3189.74|5.9357|63.7948|3117.43|215518459863|Ronald|Johnston|Nicaragua|STOP_LOSS|BROKER|2026-01-19 13:07:53.542939|2026-01-19 13:07:53.542940
STOCK|NFLX|NYSE|Saint Martin|EUR|2023-07-23|2023-07-23 11:58:15|S|40.9434|564.3989|23108.41|73.9431|462.1682|22559.42|647751762189|Stephanie|Garcia|Australia|EACH_PRICE|BROKER|2026-01-19 13:07:53.543078|2026-01-19 13:07:53.543079
ETF|NFLX|NASDAQ|India|EUR|2024-08-06|2024-08-06 05:40:35|B|258.2508|206.3165|53281.4|174.6716|1065.628|52020.36|117591816444|James|Jones|Gambia|MARKET_PRICE|MOBILE|2026-01-19 13:07:53.543316|2026-01-19 13:07:53.543317
STOCK|AMZN|LSE|Albania|EUR|2024-05-09|2024-05-09 22:03:44|S|324.6644|981.0633|318516.33|1485.7879|6370.3266|310488.23|384471684693|Rodney|Franklin|Syrian Arab Republic|STOP_LIMIT|MOBILE|2026-01-19 13:07:53.543460|2026-01-19 13:07:53.543461
STOCK|NVDA|NASDAQ|Yemen|GBP|2024-12-30|2024-12-30 20:21:12|B|462.2297|74.1516|34275.07|126.0404|685.5014|33453.35|592931826708|William|Guzman|Iceland|MARKET_PRICE|WEB|2026-01-19 13:07:53.543604|2026-01-19 13:07:53.543605
STOCK|TSLA|JPX|Guadeloupe|JPY|2023-01-08|2023-01-08 13:01:23|S|195.4205|426.808|83407.03|43.0397|1668.1406|81634.4|893661419392|Robert|Parker|Turkmenistan|LIMIT|MOBILE|2026-01-19 13:07:53.543744|2026-01-19 13:07:53.543745
ETF|NFLX|NYSE|Turks and Caicos Islands|JPY|2023-10-21|2023-10-21 20:28:13|B|169.7793|1356.9325|230379.05|713.8466|4607.581|225015.43|533225615837|Erica|Fox|Hong Kong|MARKET_PRICE|WEB|2026-01-19 13:07:53.543884|2026-01-19 13:07:53.543885
ETF|NVDA|LSE|Antarctica (the territory South of 60 deg S)|EUR|2023-06-28|2023-06-28 22:06:40|S|118.9269|671.2127|79825.25|251.8649|1596.505|77913.72|733034649765|Sandra|Mccoy|Afghanistan|STOP_LIMIT|BROKER|2026-01-19 13:07:53.544026|2026-01-19 13:07:53.544027
STOCK|META|NYSE|French Polynesia|JPY|2023-10-15|2023-10-15 03:28:47|S|203.1549|32.6856|6640.24|24.29|132.8048|6478.26|830223295089|Lindsey|Lewis|Angola|MARKET_PRICE|BROKER|2026-01-19 13:07:53.544167|2026-01-19 13:07:53.544168
ETF|MSFT|XETRA|Puerto Rico|GBP|2024-08-15|2024-08-15 13:06:13|B|367.0853|1072.2277|393599.03|473.9253|7871.9806|385186.99|877312316340|Elaine|Davis|Guernsey|STOP_LOSS|MOBILE|2026-01-19 13:07:53.544313|2026-01-19 13:07:53.544314
STOCK|BABA|JPX|Luxembourg|GBP|2023-09-17|2023-09-17 09:25:45|B|390.6982|951.5221|371757.97|1335.5746|7435.1594|362733.35|300017021574|Kristen|Strong|Panama|MARKET_PRICE|BROKER|2026-01-19 13:07:53.544454|2026-01-19 13:07:53.544455
ETF|TSLA|JPX|Indonesia|EUR|2023-03-24|2023-03-24 21:58:03|B|196.3517|364.2812|71527.23|171.7764|1430.5446|69884.11|425007000753|Jonathan|Rodriguez|Saint Martin|STOP_LIMIT|MOBILE|2026-01-19 13:07:53.544603|2026-01-19 13:07:53.544604
STOCK|BABA|XETRA|Cayman Islands|GBP|2023-09-29|2023-09-29 01:54:58|S|16.3869|807.5499|13233.24|48.2665|264.6648|12913.56|835233017709|Gabriel|Duncan|Niue|MARKET_PRICE|WEB|2026-01-19 13:07:53.544744|2026-01-19 13:07:53.544745
ETF|GOOGL|NYSE|Costa Rica|EUR|2024-03-11|2024-03-11 17:56:07|B|211.7466|1499.5911|317533.32|844.4156|6350.6664|310212.41|685811651251|Craig|Mitchell|United States Virgin Islands|STOP_LOSS|API|2026-01-19 13:07:53.544915|2026-01-19 13:07:53.544916
STOCK|BABA|XETRA|Saint Barthelemy|JPY|2024-04-06|2024-04-06 13:19:27|S|146.6877|571.6896|83859.83|339.8061|1677.1966|81821.53|436876938400|Russell|Eaton|French Southern Territories|EACH_PRICE|WEB|2026-01-19 13:07:53.545054|2026-01-19 13:07:53.545055
ETF|TSLA|NASDAQ|Isle of Man|JPY|2023-01-25|2023-01-25 08:43:51|B|212.6061|1156.8506|245953.49|515.8527|4919.0698|240371.24|935032369776|Kelly|Romero|Iraq|STOP_LIMIT|WEB|2026-01-19 13:07:53.545194|2026-01-19 13:07:53.545195
STOCK|GOOGL|XETRA|Niger|GBP|2023-06-28|2023-06-28 14:18:50|B|221.6047|125.0045|27701.58|21.0059|554.0316|27109.05|817167044716|Keith|Hart|Somalia|LIMIT|MOBILE|2026-01-19 13:07:53.545333|2026-01-19 13:07:53.545334
STOCK|AAPL|NASDAQ|Mongolia|USD|2023-11-07|2023-11-07 05:57:39|B|418.9851|16.1685|6774.36|6.2682|135.4872|6628.07|400512636934|Jamie|Blackburn|Bhutan|STOP_LIMIT|WEB|2026-01-19 13:07:53.545471|2026-01-19 13:07:53.545471
STOCK|NFLX|LSE|Anguilla|JPY|2023-05-17|2023-05-17 22:55:06|S|91.6387|456.2209|41807.49|143.5358|836.1498|40811.98|833920089189|John|Perkins|Isle of Man|STOP_LIMIT|API|2026-01-19 13:07:53.545633|2026-01-19 13:07:53.545634
ETF|AAPL|NASDAQ|Malawi|GBP|2023-03-04|2023-03-04 07:11:53|B|188.6686|760.7642|143532.32|330.0561|2870.6464|140231.88|516842457579|Alicia|Trujillo|Bulgaria|STOP_LIMIT|MOBILE|2026-01-19 13:07:53.545778|2026-01-19 13:07:53.545779
STOCK|AMZN|NASDAQ|Nepal|GBP|2023-06-22|2023-06-22 08:26:43|S|409.337|342.9309|140374.31|653.8038|2807.4862|136817.09|262099220721|Sabrina|Carpenter|Puerto Rico|STOP_LIMIT|WEB|2026-01-19 13:07:53.545935|2026-01-19 13:07:53.545936
ETF|NVDA|LSE|Svalbard & Jan Mayen Islands|EUR|2024-09-10|2024-09-10 22:35:43|S|420.8941|1497.0931|630117.65|2635.0487|12602.353|614688.17|381272068734|Jake|Taylor|Marshall Islands|STOP_LOSS|API|2026-01-19 13:07:53.546084|2026-01-19 13:07:53.546085
ETF|META|JPX|Iraq|JPY|2024-12-07|2024-12-07 13:26:54|S|122.8284|1345.6241|165280.86|527.4415|3305.6172|161408.84|781542487115|Robert|Brown|Isle of Man|MARKET_PRICE|MOBILE|2026-01-19 13:07:53.546230|2026-01-19 13:07:53.546231
ETF|MSFT|JPX|Liberia|USD|2023-05-28|2023-05-28 12:11:32|S|326.0855|306.7922|100040.49|332.9748|2000.8098|97635.46|127584798428|Robert|Hall|Turkey|MARKET_PRICE|WEB|2026-01-19 13:07:53.546375|2026-01-19 13:07:53.546376
ETF|AMZN|JPX|New Zealand|EUR|2024-12-24|2024-12-24 07:14:18|S|11.4917|226.4877|2602.73|12.9431|52.0546|2536.13|724928476665|Sierra|Allen|Moldova|EACH_PRICE|WEB|2026-01-19 13:07:53.546520|2026-01-19 13:07:53.546520
STOCK|NFLX|NASDAQ|Macao|USD|2024-01-14|2024-01-14 22:30:43|B|168.5188|994.5231|167595.84|590.726|3351.9168|163569.2|362248453798|Jason|Thomas|Pakistan|STOP_LIMIT|MOBILE|2026-01-19 13:07:53.546666|2026-01-19 13:07:53.546666
ETF|BABA|NASDAQ|Marshall Islands|USD|2024-05-19|2024-05-19 22:41:00|S|127.2271|622.7891|79235.65|346.1602|1584.713|77259.22|961905544632|James|Fuller|Falkland Islands (Malvinas)|LIMIT|BROKER|2026-01-19 13:07:53.546810|2026-01-19 13:07:53.546811
ETF|NFLX|NASDAQ|Austria|USD|2024-09-15|2024-09-15 06:44:09|S|258.7113|722.6567|186959.45|797.2418|3739.189|182345.7|597548219021|Kathleen|Hurst|Czech Republic|STOP_LIMIT|MOBILE|2026-01-19 13:07:53.546955|2026-01-19 13:07:53.546956
ETF|TSLA|JPX|Comoros|JPY|2024-12-11|2024-12-11 02:56:59|B|425.1053|484.4793|205954.72|1018.0561|4119.0944|200645.18|277879955317|Donna|Hale|Pakistan|LIMIT|API|2026-01-19 13:07:53.547194|2026-01-19 13:07:53.547196
ETF|META|NYSE|American Samoa|JPY|2024-03-13|2024-03-13 21:45:42|S|76.4778|540.5781|41342.22|70.859|826.8444|40422.46|994928687072|Alexandra|Blanchard|Lesotho|STOP_LIMIT|API|2026-01-19 13:07:53.547359|2026-01-19 13:07:53.547359
STOCK|NVDA|NYSE|Korea|GBP|2024-12-02|2024-12-02 04:15:22|B|403.1188|1156.2049|466087.93|2194.9259|9321.7586|454400.32|925005946284|Sarah|Brown|Western Sahara|STOP_LIMIT|BROKER|2026-01-19 13:07:53.547506|2026-01-19 13:07:53.547507
STOCK|META|NYSE|Macao|EUR|2023-03-21|2023-03-21 20:03:54|S|205.937|642.6626|132348.01|575.1025|2646.9602|129110.93|211352871765|Karen|Bryant|Cambodia|LIMIT|WEB|2026-01-19 13:07:53.547658|2026-01-19 13:07:53.547659
STOCK|AMZN|NASDAQ|Bangladesh|USD|2023-02-11|2023-02-11 05:27:45|B|278.98|1185.8762|330835.74|706.7146|6616.7148|323207.01|153991399955|Jonathan|Williams|Comoros|LIMIT|API|2026-01-19 13:07:53.547804|2026-01-19 13:07:53.547805
STOCK|MSFT|NASDAQ|Paraguay|EUR|2024-09-15|2024-09-15 00:59:29|S|242.6317|406.6726|98671.66|330.1114|1973.4332|96285.76|176788679147|Anna|Moore|Cote d'Ivoire|STOP_LIMIT|BROKER|2026-01-19 13:07:53.547952|2026-01-19 13:07:53.547953
STOCK|NVDA|XETRA|Djibouti|JPY|2023-06-22|2023-06-22 15:38:40|B|450.1295|1200.3979|540334.51|588.0151|10806.6902|528816.56|482877337890|Gregory|Hernandez|Zimbabwe|EACH_PRICE|BROKER|2026-01-19 13:07:53.548097|2026-01-19 13:07:53.548098
STOCK|AAPL|NASDAQ|Gibraltar|USD|2023-02-02|2023-02-02 05:19:38|S|494.8944|1066.4187|527764.64|314.3208|10555.2928|516692.73|436832246636|Dawn|Arnold|Guernsey|STOP_LIMIT|BROKER|2026-01-19 13:07:53.548243|2026-01-19 13:07:53.548244
ETF|TSLA|JPX|Niue|GBP|2024-06-15|2024-06-15 23:50:24|S|370.3606|156.65|58016.99|146.2405|1160.3398|56665.31|636092160802|Renee|Mclaughlin|Barbados|STOP_LOSS|MOBILE|2026-01-19 13:07:53.548389|2026-01-19 13:07:53.548389
STOCK|NFLX|XETRA|Georgia|EUR|2024-04-05|2024-04-05 00:49:17|S|93.3963|411.9693|38476.41|133.6149|769.5282|37549.75|300949617832|Tammy|Scott|Algeria|LIMIT|API|2026-01-19 13:07:53.548534|2026-01-19 13:07:53.548535
STOCK|NFLX|LSE|Nigeria|GBP|2023-02-24|2023-02-24 18:21:15|B|357.3605|313.545|112048.6|513.4265|2240.972|109205.83|750011159618|Jonathan|Diaz|Bolivia|LIMIT|API|2026-01-19 13:07:53.548679|2026-01-19 13:07:53.548680
ETF|AAPL|LSE|China|EUR|2023-12-17|2023-12-17 07:46:44|S|102.4768|445.93|45697.48|222.9095|913.9496|44547.54|854796928011|Ryan|West|Finland|EACH_PRICE|API|2026-01-19 13:07:53.548825|2026-01-19 13:07:53.548826
STOCK|AAPL|XETRA|Maldives|EUR|2024-06-29|2024-06-29 17:17:18|B|349.534|608.5758|212717.93|111.8669|4254.3586|208290.7|894014416884|Jacob|Mitchell|Nicaragua|STOP_LOSS|WEB|2026-01-19 13:07:53.548969|2026-01-19 13:07:53.548970
ETF|NVDA|XETRA|Burkina Faso|JPY|2023-03-30|2023-03-30 16:27:38|S|323.2618|622.8957|201358.39|544.0328|4027.1678|196718.86|273922961835|Shawn|Williams|Syrian Arab Republic|MARKET_PRICE|BROKER|2026-01-19 13:07:53.549114|2026-01-19 13:07:53.549115
STOCK|GOOGL|LSE|Faroe Islands|GBP|2023-05-17|2023-05-17 07:17:10|S|205.5948|453.7795|93294.71|389.0743|1865.8942|90965.44|672696181461|Harold|Johnson|Mexico|LIMIT|BROKER|2026-01-19 13:07:53.549260|2026-01-19 13:07:53.549261
STOCK|MSFT|LSE|Cape Verde|JPY|2023-10-10|2023-10-10 00:54:43|B|167.6843|1249.6273|209542.88|669.2247|4190.8576|204499.33|885480468147|Peter|Hall|Montenegro|EACH_PRICE|WEB|2026-01-19 13:07:53.549406|2026-01-19 13:07:53.549407
ETF|META|LSE|Austria|GBP|2024-05-16|2024-05-16 04:43:03|S|93.4824|764.597|71476.36|166.0263|1429.5272|69868.48|173373922364|Jacob|Macdonald|Jamaica|STOP_LIMIT|API|2026-01-19 13:07:53.549551|2026-01-19 13:07:53.549551
ETF|META|NASDAQ|Guernsey|EUR|2023-01-03|2023-01-03 03:58:37|B|396.3042|1332.4346|528049.43|908.0309|10560.9886|516404.38|856518880257|James|Stewart|Sierra Leone|STOP_LOSS|API|2026-01-19 13:07:53.549746|2026-01-19 13:07:53.549747
STOCK|META|JPX|Marshall Islands|USD|2024-02-03|2024-02-03 01:19:27|S|69.3371|892.632|61892.51|35.6995|1237.8502|60573.81|272106539937|Cole|Keith|Cook Islands|STOP_LIMIT|BROKER|2026-01-19 13:07:53.549971|2026-01-19 13:07:53.549972
ETF|META|XETRA|Micronesia|JPY|2024-04-21|2024-04-21 14:36:10|S|429.0524|713.9859|306337.36|1471.726|6126.7472|298446.23|509574514873|Carol|Nash|Faroe Islands|STOP_LIMIT|API|2026-01-19 13:07:53.550130|2026-01-19 13:07:53.550131
ETF|TSLA|NYSE|Portugal|USD|2024-01-18|2024-01-18 14:19:01|B|338.8913|377.4238|127905.64|574.6593|2558.1128|124654.09|135141763416|Elizabeth|Ramirez|Brazil|EACH_PRICE|BROKER|2026-01-19 13:07:53.550296|2026-01-19 13:07:53.550297
STOCK|GOOGL|NASDAQ|Uganda|EUR|2024-11-07|2024-11-07 16:44:30|B|183.6217|1140.1946|209364.47|645.2211|4187.2894|204405.95|525315245263|Joseph|Owen|Mayotte|MARKET_PRICE|WEB|2026-01-19 13:07:53.550451|2026-01-19 13:07:53.550451
STOCK|GOOGL|LSE|Croatia|JPY|2023-08-30|2023-08-30 18:29:08|B|442.5423|991.7134|438875.13|1978.9218|8777.5026|427681.7|965242282603|Julie|Day|Singapore|STOP_LIMIT|BROKER|2026-01-19 13:07:53.550622|2026-01-19 13:07:53.550623
ETF|AAPL|XETRA|Mexico|JPY|2023-01-11|2023-01-11 06:26:30|S|164.7813|360.4755|59399.62|114.2636|1187.9924|58056.26|805275345077|Kenneth|Nelson|Armenia|EACH_PRICE|BROKER|2026-01-19 13:07:53.550767|2026-01-19 13:07:53.550767
STOCK|NFLX|NASDAQ|Ireland|USD|2024-04-12|2024-04-12 12:39:09|S|106.279|1282.1309|136263.59|346.4327|2725.2718|133170.23|959682501558|Deanna|Bartlett|Poland|STOP_LIMIT|API|2026-01-19 13:07:53.550909|2026-01-19 13:07:53.550910
STOCK|META|XETRA|Christmas Island|GBP|2024-07-09|2024-07-09 22:07:12|S|104.1549|1165.4915|121391.65|285.2488|2427.833|118643.34|753334731420|Todd|Williams|Saint Barthelemy|STOP_LIMIT|WEB|2026-01-19 13:07:53.551052|2026-01-19 13:07:53.551053
ETF|AMZN|NYSE|Germany|USD|2024-05-08|2024-05-08 13:43:43|B|329.748|158.1352|52144.77|68.6585|1042.8954|51008.13|508733072790|Jason|Henderson|Guadeloupe|STOP_LOSS|MOBILE|2026-01-19 13:07:53.551237|2026-01-19 13:07:53.551238
ETF|TSLA|LSE|Bermuda|JPY|2023-06-03|2023-06-03 14:01:38|B|67.5955|218.7581|14787.06|44.1109|295.7412|14444.12|290752907850|Jeremy|Kennedy|Solomon Islands|LIMIT|BROKER|2026-01-19 13:07:53.551385|2026-01-19 13:07:53.551385
STOCK|GOOGL|XETRA|Bahamas|GBP|2023-01-01|2023-01-01 00:01:24|B|141.8725|1140.8953|161861.67|232.7503|3237.2334|158248.45|875374697117|Molly|Diaz|Antigua and Barbuda|STOP_LIMIT|WEB|2026-01-19 13:07:53.551529|2026-01-19 13:07:53.551530
STOCK|AMZN|LSE|Saint Pierre and Miquelon|JPY|2023-10-15|2023-10-15 12:39:38|S|236.4246|197.5468|46704.92|185.3835|934.0984|45539.83|106071238516|Jose|Smith|Marshall Islands|STOP_LOSS|API|2026-01-19 13:07:53.551672|2026-01-19 13:07:53.551673
STOCK|BABA|LSE|Jersey|USD|2024-06-20|2024-06-20 22:04:54|B|295.8984|168.3025|49800.44|166.9573|996.0088|48623.62|989865625316|John|Hall|Antigua and Barbuda|EACH_PRICE|API|2026-01-19 13:07:53.551835|2026-01-19 13:07:53.551836
STOCK|BABA|XETRA|Costa Rica|EUR|2024-03-22|2024-03-22 12:09:02|S|434.885|1238.9837|538815.43|1099.2514|10776.3086|526754.57|143558137673|Carlos|Keith|Philippines|STOP_LOSS|MOBILE|2026-01-19 13:07:53.551983|2026-01-19 13:07:53.551984
STOCK|TSLA|JPX|Libyan Arab Jamahiriya|GBP|2024-08-07|2024-08-07 12:51:08|B|355.1525|250.6852|89031.48|125.1815|1780.6296|87055.1|227064363761|Denise|Wilson|Lesotho|EACH_PRICE|BROKER|2026-01-19 13:07:53.552132|2026-01-19 13:07:53.552133
STOCK|TSLA|XETRA|Mexico|EUR|2023-01-25|2023-01-25 17:13:51|B|312.3551|1293.8652|404145.39|515.9791|8082.9078|395407.62|468282042965|Daniel|Butler|Ukraine|STOP_LOSS|MOBILE|2026-01-19 13:07:53.552281|2026-01-19 13:07:53.552282
STOCK|BABA|NYSE|Norfolk Island|JPY|2024-02-10|2024-02-10 18:25:49|S|199.6367|731.1089|145956.17|567.6177|2919.1234|142397.31|197998354229|Christine|Martinez|Bosnia and Herzegovina|EACH_PRICE|API|2026-01-19 13:07:53.552427|2026-01-19 13:07:53.552427
ETF|META|XETRA|Togo|EUR|2024-09-27|2024-09-27 16:24:57|B|425.374|878.8922|373857.89|687.0841|7477.1578|365548.89|960837176172|Antonio|Murillo|Palau|STOP_LIMIT|BROKER|2026-01-19 13:07:53.552576|2026-01-19 13:07:53.552576
STOCK|AAPL|XETRA|Congo|EUR|2024-02-23|2024-02-23 13:09:38|B|336.741|1189.7292|400630.6|1297.0045|8012.612|391049.8|348160893032|Elizabeth|Espinoza|Ghana|LIMIT|MOBILE|2026-01-19 13:07:53.552722|2026-01-19 13:07:53.552723
STOCK|NFLX|NYSE|Bolivia|EUR|2024-02-22|2024-02-22 21:46:24|B|345.5676|856.8049|296084.01|1161.338|5921.6802|288854.72|249900992660|Martha|Jenkins|Holy See (Vatican City State)|STOP_LOSS|MOBILE|2026-01-19 13:07:53.552868|2026-01-19 13:07:53.552869
ETF|TSLA|LSE|Mongolia|JPY|2024-02-01|2024-02-01 11:34:57|S|208.4021|532.9909|111076.42|401.6686|2221.5284|108378.72|479784796755|James|Golden|Romania|MARKET_PRICE|BROKER|2026-01-19 13:07:53.553016|2026-01-19 13:07:53.553017
STOCK|NVDA|JPX|Guinea-Bissau|USD|2023-05-08|2023-05-08 17:52:06|S|395.1863|491.8954|194390.32|856.186|3887.8064|189508.81|249531210532|Kent|Sanchez|Thailand|STOP_LOSS|MOBILE|2026-01-19 13:07:53.553161|2026-01-19 13:07:53.553162
ETF|TSLA|LSE|Cocos (Keeling) Islands|USD|2024-05-04|2024-05-04 11:56:29|B|443.0364|1119.8724|496144.24|347.2187|9922.8848|485404.25|704534779053|Jennifer|Price|South Africa|STOP_LIMIT|WEB|2026-01-19 13:07:53.553306|2026-01-19 13:07:53.553307
ETF|NFLX|LSE|French Southern Territories|JPY|2024-05-04|2024-05-04 20:03:49|B|25.3679|632.1862|16037.24|60.7517|320.7448|15645.57|144123097823|John|Tran|Saint Vincent and the Grenadines|MARKET_PRICE|MOBILE|2026-01-19 13:07:53.553450|2026-01-19 13:07:53.553450
ETF|GOOGL|LSE|French Southern Territories|GBP|2023-07-02|2023-07-02 22:29:53|B|124.7416|749.7302|93522.54|429.3987|1870.4508|91184.58|182863893629|Brooke|Lawrence|Kazakhstan|MARKET_PRICE|BROKER|2026-01-19 13:07:53.553593|2026-01-19 13:07:53.553594
STOCK|AAPL|XETRA|Liberia|USD|2023-03-20|2023-03-20 12:34:23|B|153.5559|786.5471|120778.95|315.9821|2415.579|117992.59|871873489307|Megan|Phillips|Egypt|STOP_LOSS|BROKER|2026-01-19 13:07:53.553750|2026-01-19 13:07:53.553750
STOCK|GOOGL|JPX|Venezuela|EUR|2023-12-29|2023-12-29 12:52:54|B|245.0347|387.285|94898.26|446.7659|1897.9652|92464.67|635791085536|Michele|Liu|Mauritania|LIMIT|BROKER|2026-01-19 13:07:53.553902|2026-01-19 13:07:53.553903
ETF|NFLX|NASDAQ|Slovenia|GBP|2023-03-14|2023-03-14 13:42:47|B|364.2935|749.0482|272873.39|961.5446|5457.4678|266234.26|218699294748|Erin|Hernandez|Botswana|LIMIT|API|2026-01-19 13:07:53.554076|2026-01-19 13:07:53.554077
